ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,5907.563808806124
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7226.978491209518
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,7246.376309032981
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7179.6371847061355
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,7251.648703414256
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,5886.441641532242
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,5882.7100625672765
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,7168.40219585124
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,5925.527353070446
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,7220.243341708607
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,5905.6826021861025
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,5954.083728364735
44,Chau_Thanh,10.420981,105.295797,WS,T,25-03-2022,1.76,7240.5762160559425
45,Thoai_Son,10.340626,105.172116,SA,T,23-07-2022,3.0,5907.486422701757
46,Chau_Phu,10.625193,105.181059,SA,D,09-08-2022,3.0,5976.454343093282
47,Chau_Phu,10.479304,105.102943,SA,D,20-07-2022,2.9,5930.6989891768435
48,Chau_Thanh,10.392899,105.188514,WS,T,24-03-2022,1.43,7220.690126105001
49,Chau_Thanh,10.426536,105.115181,SA,T,14-07-2022,1.43,5938.428737670325
50,Chau_Phu,10.552114,105.091399,SA,D,05-08-2022,3.6,5929.388999539133
51,Chau_Phu,10.541934,105.247538,WS,T,10-04-2022,2.0,7226.187506346615
52,Thoai_Son,10.303437,105.381252,WS,T,28-03-2022,2.1,7236.278433481085
53,Thoai_Son,10.368837,105.205763,SA,T,21-07-2022,2.3,5907.347004111852
54,Chau_Thanh,10.440557,105.250671,WS,T,27-03-2022,1.76,7237.720620979651
55,Chau_Thanh,10.430707,105.315671,SA,T,10-07-2022,1.54,5931.59214307539
56,Chau_Thanh,10.378696,105.309113,WS,T,27-03-2022,1.32,7238.531050968573
57,Thoai_Son,10.283467,105.267082,WS,T,20-04-2022,2.2,7259.437665370921
58,Chau_Thanh,10.436907,105.236241,WS,T,27-03-2022,1.375,7236.988175432085
59,Chau_Thanh,10.387619,105.243467,SA,T,19-07-2022,1.3,5902.303013180295
60,Chau_Phu,10.482003,105.203866,SA,T,15-07-2022,3.0,5885.826152995783
61,Chau_Phu,10.545098,105.112895,SA,D,20-07-2022,3.6,5878.023954840493
62,Thoai_Son,10.279477,105.288145,WS,T,10-04-2022,2.0,7227.174336661183
63,Chau_Thanh,10.40466,105.311554,SA,T,17-07-2022,1.87,5932.773302495679
64,Thoai_Son,10.34489,105.243935,SA,T,23-07-2022,2.3,5906.354633868565
65,Chau_Phu,10.623506,105.132794,WS,T,10-04-2022,5.0,7186.024471494777
66,Thoai_Son,10.303766,105.203102,WS,T,16-04-2022,2.2,7216.718233514203
67,Chau_Phu,10.656963,105.152679,WS,D,10-04-2022,3.0,7248.669020467771
68,Thoai_Son,10.312202,105.330633,WS,T,10-04-2022,3.0,7238.910195325826
69,Chau_Thanh,10.440335,105.22309,WS,D,27-03-2022,1.76,7220.376935427288
70,Thoai_Son,10.306886,105.290958,SA,T,20-07-2022,1.85,5891.4712282008295
71,Chau_Thanh,10.392045,105.307085,SA,T,17-07-2022,1.43,5912.645572903341
72,Chau_Thanh,10.375619,105.124248,WS,T,24-03-2022,1.87,7173.840393062843
73,Thoai_Son,10.313955,105.243521,SA,T,20-07-2022,1.3,5909.334748865287
74,Chau_Phu,10.592666,105.141217,SA,T,05-08-2022,2.8,5916.278443634818
75,Thoai_Son,10.266311,105.23555,WS,T,20-04-2022,1.5,7244.270495367106
76,Chau_Thanh,10.386546,105.19302,SA,T,14-07-2022,1.65,5901.210747385088
77,Thoai_Son,10.282365,105.276189,WS,T,10-04-2022,1.91,7258.099076249369
78,Thoai_Son,10.33791,105.357013,SA,T,20-07-2022,2.0,5978.991366956228
79,Thoai_Son,10.31856,105.374468,WS,D,28-03-2022,1.4,7259.623185356953
80,Chau_Thanh,10.429212,105.141436,WS,D,27-03-2022,1.21,7232.141908901892
81,Chau_Phu,10.474439,105.216928,SA,T,15-07-2022,7.0,5893.329995161092
82,Chau_Thanh,10.443488,105.236111,WS,T,27-03-2022,1.65,7223.0327458558195
83,Chau_Thanh,10.409367,105.355252,WS,T,25-03-2022,2.42,7248.509032272884
84,Thoai_Son,10.292156,105.361294,SA,T,12-07-2022,2.3,5921.608971921956
85,Chau_Phu,10.469839,105.211568,WS,T,01-04-2022,4.0,7216.680231624439
86,Thoai_Son,10.257436,105.217205,SA,T,22-07-2022,2.3,5875.754962128867
87,Chau_Phu,10.658291,105.127704,WS,T,10-04-2022,3.0,7258.411876548471
88,Chau_Thanh,10.407982,105.123304,WS,D,27-03-2022,2.75,7183.0856436923295
89,Thoai_Son,10.320684,105.272431,SA,T,20-07-2022,3.0,5898.1417615093
90,Chau_Phu,10.501648,105.096892,WS,T,10-04-2022,1.2,7170.421879500538
91,Chau_Phu,10.490352,105.23065,WS,T,02-04-2022,4.0,7179.209561420895
92,Thoai_Son,10.34489,105.243935,WS,T,12-04-2022,2.3,7242.963332040257
93,Chau_Thanh,10.440557,105.250671,SA,T,28-07-2022,1.76,5914.157749991541
94,Thoai_Son,10.320371,105.259016,WS,T,13-04-2022,1.52,7231.052024802128
95,Thoai_Son,10.250745,105.24539,WS,T,20-04-2022,3.0,7226.21538866084
96,Chau_Thanh,10.435839,105.132981,SA,D,26-07-2022,1.21,5926.801892314397
97,Chau_Phu,10.529357,105.147388,WS,T,10-04-2022,2.0,7213.684223250949
98,Chau_Thanh,10.452537,105.205118,SA,T,20-07-2022,5.5,5947.336126742244
99,Chau_Thanh,10.394341,105.126836,SA,T,14-07-2022,4.4,5901.210747385088
100,Chau_Phu,10.48065,105.130089,WS,T,10-04-2022,2.0,7177.245585862851
